Unit Id,Institution name,,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
100706,University of Alabama in Huntsville,Percent of applicants admitted,80.9%,81.2%,76.3%,81.2%,82.0%,80.6%,77.7%,63.7%,66.1%,72.1%,89.2%,88.0%,88.3%,87.2%,89.4%,87.6%,90.5%
100706,University of Alabama in Huntsville,Percent of admitted who enrolled,39.1%,37.4%,35.0%,38.6%,41.9%,39.3%,41.5%,54.5%,50.9%,57.8%,47.6%,49.1%,52.4%,44.6%,43.7%,51.1%,45.1%
100724,Alabama State University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2003,Fall 2001
100724,Alabama State University,Number of applicants,7783,6842,9053,8356,7673,10245,7592,7158,8229,8510,11309,12436,6202,8827,11462,11462,6236
100724,Alabama State University,Number admitted,7607,6696,4155,3876,4087,5251,3495,3636,3598,3936,4781,5172,4154,4476,5779,5779,4322
100724,Alabama State University,Number admitted who enrolled,1038,967,1172,1021,1091,1479,1106,1101,1221,1378,1366,1366,1213,1163,1249,1249,1280
100724,Alabama State University,Percent of applicants admitted,97.7%,97.9%,45.9%,46.4%,53.3%,51.3%,46.0%,50.8%,43.7%,46.3%,42.3%,41.6%,67.0%,50.7%,50.4%,50.4%,69.3%
100724,Alabama State University,Percent of admitted who enrolled,13.6%,14.4%,28.2%,26.3%,26.7%,28.2%,31.6%,30.3%,33.9%,35.0%,28.6%,26.4%,29.2%,26.0%,21.6%,21.6%,29.6%
100751,The University of Alabama,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
100751,The University of Alabama,Number of applicants,37302,38129,38237,36203,33736,30975,26409,22136,20112,18967,18500,14313,12522,10555,9106,8298,7322
100751,The University of Alabama,Number admitted,22032,20321,20107,19400,17221,17515,14019,9636,10776,11133,11172,9140,8770,7776,7021,7194,6196
100751,The University of Alabama,Number admitted who enrolled,6663,7407,7559,7211,6824,6454,6397,5766,5563,5148,5116,4538,4378,3739,3368,3077,2655
100751,The University of Alabama,Percent of applicants admitted,59.1%,53.3%,52.6%,53.6%,51.0%,56.5%,53.1%,43.5%,53.6%,58.7%,60.4%,63.9%,70.0%,73.7%,77.1%,86.7%,84.6%
100751,The University of Alabama,Percent of admitted who enrolled,30.2%,36.4%,37.6%,37.2%,39.6%,36.8%,45.6%,59.8%,51.6%,46.2%,45.8%,49.6%,49.9%,48.1%,48.0%,42.8%,42.9%
100812,Athens State University,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
100812,Athens State University,Number of applicants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
100812,Athens State University,Number admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
100812,Athens State University,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
100812,Athens State University,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
100812,Athens State University,Percent of admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
100830,Auburn University at Montgomery,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2011,Fall 2011,Fall 2009,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
100830,Auburn University at Montgomery,Number of applicants,5941,2454,2905,2494,2123,1958,1739,2165,1409,1418,1621,1210,702,814,953,962,1060
100830,Auburn University at Montgomery,Number admitted,5514,2022,2225,1963,1702,1639,1286,1709,1339,1346,1470,1110,688,798,934,954,1052
100830,Auburn University at Montgomery,Number admitted who enrolled,757,652,594,620,613,579,871,813,871,874,766,666,653,758,887,906,1002
100830,Auburn University at Montgomery,Percent of applicants admitted,92.8%,82.4%,76.6%,78.7%,80.2%,83.7%,74.0%,78.9%,95.0%,94.9%,90.7%,91.7%,98.0%,98.0%,98.0%,99.2%,99.2%
100830,Auburn University at Montgomery,Percent of admitted who enrolled,13.7%,32.2%,26.7%,31.6%,36.0%,35.3%,67.7%,47.6%,65.0%,64.9%,52.1%,60.0%,94.9%,95.0%,95.0%,95.0%,95.2%
100858,Auburn University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
100858,Auburn University,Number of applicants,20742,18072,18256,19414,16958,15745,17463,18323,15784,14862,17068,17688,15919,14249,12827,12439,13264
100858,Auburn University,Number admitted,15645,15168,14704,15077,14154,13027,13486,12827,12417,11816,12085,12200,11538,11616,10796,9653,10994
100858,Auburn University,Number admitted who enrolled,4783,4836,4529,4902,4592,3726,3852,4202,4204,3918,3984,4191,4092,4197,3594,3706,4184
100858,Auburn University,Percent of applicants admitted,75.4%,83.9%,80.5%,77.7%,83.5%,82.7%,77.2%,70.0%,78.7%,79.5%,70.8%,69.0%,72.5%,81.5%,84.2%,77.6%,82.9%
100858,Auburn University,Percent of admitted who enrolled,30.6%,31.9%,30.8%,32.5%,32.4%,28.6%,28.6%,32.8%,33.9%,33.2%,33.0%,34.4%,35.5%,36.1%,33.3%,38.4%,38.1%
101116,South University-Montgomery,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
101116,South University-Montgomery,Number of applicants,-,-,-,-,-,71,73,150,110,131,116,92,100,157,66,47,36
101116,South University-Montgomery,Number admitted,-,-,-,-,-,31,54,83,102,116,104,83,68,110,66,47,36
101116,South University-Montgomery,Number admitted who enrolled,-,-,-,-,-,22,43,54,92,86,93,71,66,97,61,46,36
101116,South University-Montgomery,Percent of applicants admitted,-,-,-,-,-,43.7%,74.0%,55.3%,92.7%,88.5%,89.7%,90.2%,68.0%,70.1%,100.0%,100.0%,100.0%
101116,South University-Montgomery,Percent of admitted who enrolled,-,-,-,-,-,71.0%,79.6%,65.1%,90.2%,74.1%,89.4%,85.5%,97.1%,88.2%,92.4%,97.9%,100.0%
101480,Jacksonville State University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
101480,Jacksonville State University,Number of applicants,6033,6005,4979,3085,2969,3083,3161,3400,2794,2919,3452,3299,2799,2839,2419,2452,2600
101480,Jacksonville State University,Number admitted,3276,3244,2643,2056,2472,2567,2602,2844,2346,2558,2964,2853,2428,2499,2130,2188,2009
101480,Jacksonville State University,Number admitted who enrolled,1073,1147,1320,1049,1185,1158,1332,1414,1272,1252,1299,1302,1144,1151,1057,1078,1109
101480,Jacksonville State University,Percent of applicants admitted,54.3%,54.0%,53.1%,66.6%,83.3%,83.3%,82.3%,83.6%,84.0%,87.6%,85.9%,86.5%,86.7%,88.0%,88.1%,89.2%,77.3%
101480,Jacksonville State University,Percent of admitted who enrolled,32.8%,35.4%,49.9%,51.0%,47.9%,45.1%,51.2%,49.7%,54.2%,48.9%,43.8%,45.6%,47.1%,46.1%,49.6%,49.3%,55.2%
101587,University of West Alabama,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2011,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
101587,University of West Alabama,Number of applicants,8870,7388,1032,1195,1014,462,937,937,965,770,885,883,899,832,691,730,690
101587,University of West Alabama,Number admitted,3518,2084,548,878,730,460,455,633,391,478,604,344,676,646,510,572,275
101587,University of West Alabama,Number admitted who enrolled,415,461,377,420,350,380,354,354,357,326,304,340,354,366,264,322,275
101587,University of West Alabama,Percent of applicants admitted,39.7%,28.2%,53.1%,73.5%,72.0%,99.6%,48.6%,67.6%,40.5%,62.1%,68.2%,39.0%,75.2%,77.6%,73.8%,78.4%,39.9%
101587,University of West Alabama,Percent of admitted who enrolled,11.8%,22.1%,68.8%,47.8%,47.9%,82.6%,77.8%,55.9%,91.3%,68.2%,50.3%,98.8%,52.4%,56.7%,51.8%,56.3%,100.0%
101709,University of Montevallo,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2011,Fall 2011,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
101709,University of Montevallo,Number of applicants,3882,1944,2334,2024,1821,1385,1315,1350,1350,1543,1437,1437,1392,1426,1243,1334,1329
101709,University of Montevallo,Number admitted,1882,1253,1527,1417,1353,1209,1022,1022,976,1057,1120,1120,1008,1054,982,1012,965
101709,University of Montevallo,Number admitted who enrolled,490,487,477,505,540,531,507,507,429,518,491,479,479,489,498,529,507
101709,University of Montevallo,Percent of applicants admitted,48.5%,64.5%,65.4%,70.0%,74.3%,87.3%,77.7%,75.7%,72.3%,68.5%,77.9%,77.9%,72.4%,73.9%,79.0%,75.9%,72.6%
101709,University of Montevallo,Percent of admitted who enrolled,26.0%,38.9%,31.2%,35.6%,39.9%,43.9%,49.6%,49.6%,44.0%,49.0%,43.8%,42.8%,47.5%,46.4%,50.7%,52.3%,52.5%
101879,University of North Alabama,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
101879,University of North Alabama,Number of applicants,4450,3969,4408,3319,2765,2542,2419,2136,2289,2437,2183,2330,1878,1704,1856,1635,3000
101879,University of North Alabama,Number admitted,2863,2787,2457,1925,1877,2057,2140,1872,1988,2005,1111,1022,1878,933,1492,1298,2524
101879,University of North Alabama,Number admitted who enrolled,1005,1128,1196,1173,944,970,1078,891,978,1074,1111,1022,1019,933,834,803,790
101879,University of North Alabama,Percent of applicants admitted,64.3%,70.2%,55.7%,58.0%,67.9%,80.9%,88.5%,87.6%,86.9%,82.3%,50.9%,43.9%,100.0%,54.8%,80.4%,79.4%,84.1%
101879,University of North Alabama,Percent of admitted who enrolled,35.1%,40.5%,48.7%,60.9%,50.3%,47.2%,50.4%,47.6%,49.2%,53.6%,100.0%,100.0%,54.3%,100.0%,55.9%,61.9%,31.3%
102094,University of South Alabama,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
102094,University of South Alabama,Number of applicants,6555,5898,6180,6625,5614,4814,4770,4473,4369,4050,3473,3089,2906,4772,3012,3714,2512
102094,University of South Alabama,Number admitted,5199,4841,4975,5178,4688,4142,4159,3903,3777,3631,3134,2727,2690,4126,2299,1527,2331
102094,University of South Alabama,Number admitted who enrolled,1910,1886,1997,2105,2073,1878,1944,1944,1772,1841,1617,1529,1433,3659,1422,1527,1389
102094,University of South Alabama,Percent of applicants admitted,79.3%,82.1%,80.5%,78.2%,83.5%,86.0%,87.2%,87.3%,86.4%,89.7%,90.2%,88.3%,92.6%,86.5%,76.3%,41.1%,92.8%
102094,University of South Alabama,Percent of admitted who enrolled,36.7%,39.0%,40.1%,40.7%,44.2%,45.3%,46.7%,49.8%,46.9%,50.7%,51.6%,56.1%,53.3%,88.7%,61.9%,100.0%,59.6%
102368,Troy University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
102368,Troy University,Number of applicants,7332,7367,5952,5569,6336,5946,6269,6530,6238,5999,5237,4902,4758,4886,4073,3089,2438
102368,Troy University,Number admitted,6428,6492,5431,5116,4642,4056,3905,4667,4336,3974,3363,3626,3866,3949,2751,2320,1766
102368,Troy University,Number admitted who enrolled,1929,2160,1960,2084,2176,2087,2486,2989,3323,2908,1873,2597,2250,2084,1286,987,857
102368,Troy University,Percent of applicants admitted,87.7%,88.1%,91.2%,91.9%,73.3%,68.2%,62.3%,71.5%,69.5%,66.2%,64.2%,74.0%,81.3%,80.8%,67.5%,75.1%,72.4%
102368,Troy University,Percent of admitted who enrolled,30.0%,33.3%,36.1%,40.7%,46.9%,51.5%,63.7%,64.0%,76.6%,73.2%,55.7%,71.6%,58.2%,52.8%,46.7%,42.5%,48.5%
102553,University of Alaska Anchorage,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
102553,University of Alaska Anchorage,Number of applicants,3745,3716,3626,3775,-,-,-,-,-,4229,3712,3377,3430,2760,2581,2516,2001
102553,University of Alaska Anchorage,Number admitted,3039,3078,3004,2665,-,-,-,-,-,3065,2522,2414,2494,2056,2073,1922,1737
102553,University of Alaska Anchorage,Number admitted who enrolled,1606,1877,1744,1869,-,-,-,-,-,2113,1740,1686,1743,1561,1533,1465,1355
102553,University of Alaska Anchorage,Percent of applicants admitted,81.1%,82.8%,82.8%,70.6%,-,-,-,-,-,72.5%,67.9%,71.5%,72.7%,74.5%,80.3%,76.4%,86.8%
102553,University of Alaska Anchorage,Percent of admitted who enrolled,52.8%,61.0%,58.1%,70.1%,-,-,-,-,-,68.9%,69.0%,69.8%,69.9%,75.9%,74.0%,76.2%,78.0%
102614,University of Alaska Fairbanks,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
102614,University of Alaska Fairbanks,Number of applicants,1683,1631,1557,1554,-,-,-,-,-,2087,1934,1758,1743,1973,1921,2120,1646
102614,University of Alaska Fairbanks,Number admitted,1281,1251,1144,1136,-,-,-,-,-,1554,1370,1373,1325,1434,1431,1650,1465
102614,University of Alaska Fairbanks,Number admitted who enrolled,746,804,775,798,-,-,-,-,-,1008,934,958,887,1054,1019,1090,976
102614,University of Alaska Fairbanks,Percent of applicants admitted,76.1%,76.7%,73.5%,73.1%,-,-,-,-,-,74.5%,70.8%,78.1%,76.0%,72.7%,74.5%,77.8%,89.0%
102614,University of Alaska Fairbanks,Percent of admitted who enrolled,58.2%,64.3%,67.7%,70.2%,-,-,-,-,-,64.9%,68.2%,69.8%,66.9%,73.5%,71.2%,66.1%,66.6%
102632,University of Alaska Southeast,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,N/A
102632,University of Alaska Southeast,Number of applicants,499,449,384,458,-,-,-,-,-,-,445,310,391,310,319,345,0
102632,University of Alaska Southeast,Number admitted,316,319,188,224,-,-,-,-,-,-,313,222,286,254,270,187,0
102632,University of Alaska Southeast,Number admitted who enrolled,219,193,162,196,-,-,-,-,-,-,210,142,183,202,201,151,0
102632,University of Alaska Southeast,Percent of applicants admitted,63.3%,71.0%,49.0%,48.9%,-,-,-,-,-,-,70.3%,71.6%,73.1%,81.9%,84.6%,54.2%,0
102632,University of Alaska Southeast,Percent of admitted who enrolled,69.3%,60.5%,86.2%,87.5%,-,-,-,-,-,-,67.1%,64.0%,64.0%,79.5%,74.4%,80.7%,0
102845,Charter College,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
102845,Charter College,Number of applicants,638,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
102845,Charter College,Number admitted,638,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
102845,Charter College,Number admitted who enrolled,600,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
102845,Charter College,Percent of applicants admitted,100.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
102845,Charter College,Percent of admitted who enrolled,94.0%,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
104090,Brookline College-Phoenix,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
104090,Brookline College-Phoenix,Number of applicants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
104090,Brookline College-Phoenix,Number admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
104090,Brookline College-Phoenix,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
104090,Brookline College-Phoenix,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
104090,Brookline College-Phoenix,Percent of admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
104151,Arizona State University-Tempe,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
104151,Arizona State University-Tempe,Number of applicants,26869,24127,24764,25380,22581,21770,29722,29771,28304,27089,24922,20702,20702,19914,20789,19785,18155
104151,Arizona State University-Tempe,Number admitted,22779,20302,20431,21042,19042,17465,26425,25795,25616,24473,23504,19133,19133,18126,17899,17490,15385
104151,Arizona State University-Tempe,Number admitted who enrolled,8861,7874,8230,8348,7647,7171,9254,9544,9344,9707,9274,7894,7894,7706,7147,7126,6348
104151,Arizona State University-Tempe,Percent of applicants admitted,84.8%,84.1%,82.5%,82.9%,84.3%,80.2%,88.9%,86.6%,90.5%,90.3%,94.3%,92.4%,92.4%,91.0%,86.1%,88.4%,84.7%
104151,Arizona State University-Tempe,Percent of admitted who enrolled,38.9%,38.8%,40.3%,39.7%,40.2%,41.1%,35.0%,37.0%,36.5%,39.7%,39.5%,41.3%,41.3%,42.5%,39.9%,40.7%,41.3%
104179,University of Arizona,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2012,Fall 2011,Fall 2010,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
104179,University of Arizona,Number of applicants,39941,33608,36166,35408,32723,26329,26854,26629,26629,24756,22544,25449,16609,17904,23725,21185,19832
104179,University of Arizona,Number admitted,33717,28089,28433,27061,24417,20251,19172,20068,20068,19310,18158,19703,14293,15701,19788,18021,16973
104179,University of Arizona,Number admitted who enrolled,7750,7360,7753,8037,7744,7401,7300,7032,7032,6966,6709,8482,6009,5974,5725,5958,5808
104179,University of Arizona,Percent of applicants admitted,84.4%,83.6%,78.6%,76.4%,74.6%,76.9%,71.4%,75.4%,75.4%,78.0%,80.5%,77.4%,86.1%,87.7%,83.4%,85.1%,85.6%
104179,University of Arizona,Percent of admitted who enrolled,23.0%,26.2%,27.3%,29.7%,31.7%,36.5%,38.1%,35.0%,35.0%,36.1%,36.9%,43.0%,42.0%,38.0%,28.9%,33.1%,34.2%
104717,Grand Canyon University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
104717,Grand Canyon University,Number of applicants,31958,32734,34096,34475,23901,15401,11279,7136,2840,5851,2785,1555,791,1499,662,631,830
104717,Grand Canyon University,Number admitted,23392,21906,19413,14893,13759,8440,3651,2628,2840,5850,2781,1282,515,497,436,455,493
104717,Grand Canyon University,Number admitted who enrolled,4029,3515,3318,3459,2980,3190,2818,2097,2273,2252,1144,1009,178,186,229,226,205
104717,Grand Canyon University,Percent of applicants admitted,73.2%,66.9%,56.9%,43.2%,57.6%,54.8%,32.4%,36.8%,100.0%,100.0%,99.9%,82.4%,65.1%,33.2%,65.9%,72.1%,59.4%
104717,Grand Canyon University,Percent of admitted who enrolled,17.2%,16.0%,17.1%,23.2%,21.7%,37.8%,77.2%,79.8%,80.0%,38.5%,41.1%,78.7%,34.6%,37.4%,52.5%,49.7%,41.6%
105297,Dine College,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105297,Dine College,Number of applicants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
105297,Dine College,Number admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
105297,Dine College,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
105297,Dine College,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
105297,Dine College,Percent of admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
105330,Northern Arizona University,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
105330,Northern Arizona University,Number of applicants,36831,36875,36511,29583,30855,33989,34461,31995,31773,26334,20109,15486,9077,7305,7789,10622,7912
105330,Northern Arizona University,Number admitted,30428,29812,28495,22739,24991,31057,26299,20727,20724,19200,14947,11629,2930,6308,6656,8635,6447
105330,Northern Arizona University,Number admitted who enrolled,5869,5900,5607,5218,4981,4772,4254,3872,4132,3702,3603,3171,2846,2279,2528,2369,2396
105330,Northern Arizona University,Percent of applicants admitted,82.6%,80.8%,78.0%,76.9%,81.0%,91.4%,76.3%,64.8%,65.2%,72.9%,74.3%,75.1%,32.3%,86.4%,85.5%,81.3%,81.5%
105330,Northern Arizona University,Percent of admitted who enrolled,19.3%,19.8%,19.7%,22.9%,19.9%,15.4%,16.2%,18.7%,19.9%,19.3%,24.1%,27.3%,97.1%,36.1%,38.0%,27.4%,37.2%
105534,Pima Medical Institute-Tucson,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
105534,Pima Medical Institute-Tucson,Number of applicants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
105534,Pima Medical Institute-Tucson,Number admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
105534,Pima Medical Institute-Tucson,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
105534,Pima Medical Institute-Tucson,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
105534,Pima Medical Institute-Tucson,Percent of admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
106245,University of Arkansas at Little Rock,Reporting period,N/A,N/A,N/A,N/A,N/A,Fall 2013,Fall 2012,Fall 2010,Fall 2009,N/A,N/A,N/A,N/A,N/A,N/A,Fall 2003,Fall 2002
106245,University of Arkansas at Little Rock,Number of applicants,2593,2109,2035,1938,1751,1443,2037,930,2120,-,-,-,-,-,-,2650,6427
106245,University of Arkansas at Little Rock,Number admitted,2057,1574,1828,1741,1038,761,2026,895,1851,-,-,-,-,-,-,803,6259
106245,University of Arkansas at Little Rock,Number admitted who enrolled,575,742,805,859,734,667,836,700,701,-,-,-,-,-,-,803,4343
106245,University of Arkansas at Little Rock,Percent of applicants admitted,79.3%,74.6%,89.8%,89.8%,59.3%,52.7%,99.5%,96.2%,87.3%,-,-,-,-,-,-,30.3%,97.4%
106245,University of Arkansas at Little Rock,Percent of admitted who enrolled,28.0%,47.1%,44.0%,49.3%,70.7%,87.6%,41.3%,78.2%,37.9%,-,-,-,-,-,-,100.0%,69.4%
106263,University of Arkansas for Medical Sciences,Reporting period,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
106263,University of Arkansas for Medical Sciences,Number of applicants,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
106263,University of Arkansas for Medical Sciences,Number admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
106263,University of Arkansas for Medical Sciences,Number admitted who enrolled,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
106263,University of Arkansas for Medical Sciences,Percent of applicants admitted,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0
