,Unit Id,School,Applicatin_Status,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
24,100751,The University of Alabama,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
25,100751,The University of Alabama,Number of applicants,37302,38129,38237,36203,33736,30975,26409,22136,20112,18967,18500,14313,12522,10555,9106,8298,7322
26,100751,The University of Alabama,Number admitted,22032,20321,20107,19400,17221,17515,14019,9636,10776,11133,11172,9140,8770,7776,7021,7194,6196
27,100751,The University of Alabama,Number admitted who enrolled,6663,7407,7559,7211,6824,6454,6397,5766,5563,5148,5116,4538,4378,3739,3368,3077,2655
28,100751,The University of Alabama,Percent of applicants admitted,59.1%,53.3%,52.6%,53.6%,51.0%,56.5%,53.1%,43.5%,53.6%,58.7%,60.4%,63.9%,70.0%,73.7%,77.1%,86.7%,84.6%
29,100751,The University of Alabama,Percent of admitted who enrolled,30.2%,36.4%,37.6%,37.2%,39.6%,36.8%,45.6%,59.8%,51.6%,46.2%,45.8%,49.6%,49.9%,48.1%,48.0%,42.8%,42.9%
42,100858,Auburn University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
43,100858,Auburn University,Number of applicants,20742,18072,18256,19414,16958,15745,17463,18323,15784,14862,17068,17688,15919,14249,12827,12439,13264
44,100858,Auburn University,Number admitted,15645,15168,14704,15077,14154,13027,13486,12827,12417,11816,12085,12200,11538,11616,10796,9653,10994
45,100858,Auburn University,Number admitted who enrolled,4783,4836,4529,4902,4592,3726,3852,4202,4204,3918,3984,4191,4092,4197,3594,3706,4184
46,100858,Auburn University,Percent of applicants admitted,75.4%,83.9%,80.5%,77.7%,83.5%,82.7%,77.2%,70.0%,78.7%,79.5%,70.8%,69.0%,72.5%,81.5%,84.2%,77.6%,82.9%
47,100858,Auburn University,Percent of admitted who enrolled,30.6%,31.9%,30.8%,32.5%,32.4%,28.6%,28.6%,32.8%,33.9%,33.2%,33.0%,34.4%,35.5%,36.1%,33.3%,38.4%,38.1%
54,101480,Jacksonville State University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
55,101480,Jacksonville State University,Number of applicants,6033,6005,4979,3085,2969,3083,3161,3400,2794,2919,3452,3299,2799,2839,2419,2452,2600
56,101480,Jacksonville State University,Number admitted,3276,3244,2643,2056,2472,2567,2602,2844,2346,2558,2964,2853,2428,2499,2130,2188,2009
57,101480,Jacksonville State University,Number admitted who enrolled,1073,1147,1320,1049,1185,1158,1332,1414,1272,1252,1299,1302,1144,1151,1057,1078,1109
58,101480,Jacksonville State University,Percent of applicants admitted,54.3%,54.0%,53.1%,66.6%,83.3%,83.3%,82.3%,83.6%,84.0%,87.6%,85.9%,86.5%,86.7%,88.0%,88.1%,89.2%,77.3%
59,101480,Jacksonville State University,Percent of admitted who enrolled,32.8%,35.4%,49.9%,51.0%,47.9%,45.1%,51.2%,49.7%,54.2%,48.9%,43.8%,45.6%,47.1%,46.1%,49.6%,49.3%,55.2%
78,102094,University of South Alabama,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
79,102094,University of South Alabama,Number of applicants,6555,5898,6180,6625,5614,4814,4770,4473,4369,4050,3473,3089,2906,4772,3012,3714,2512
80,102094,University of South Alabama,Number admitted,5199,4841,4975,5178,4688,4142,4159,3903,3777,3631,3134,2727,2690,4126,2299,1527,2331
81,102094,University of South Alabama,Number admitted who enrolled,1910,1886,1997,2105,2073,1878,1944,1944,1772,1841,1617,1529,1433,3659,1422,1527,1389
82,102094,University of South Alabama,Percent of applicants admitted,79.3%,82.1%,80.5%,78.2%,83.5%,86.0%,87.2%,87.3%,86.4%,89.7%,90.2%,88.3%,92.6%,86.5%,76.3%,41.1%,92.8%
83,102094,University of South Alabama,Percent of admitted who enrolled,36.7%,39.0%,40.1%,40.7%,44.2%,45.3%,46.7%,49.8%,46.9%,50.7%,51.6%,56.1%,53.3%,88.7%,61.9%,100.0%,59.6%
84,102368,Troy University,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
85,102368,Troy University,Number of applicants,7332,7367,5952,5569,6336,5946,6269,6530,6238,5999,5237,4902,4758,4886,4073,3089,2438
86,102368,Troy University,Number admitted,6428,6492,5431,5116,4642,4056,3905,4667,4336,3974,3363,3626,3866,3949,2751,2320,1766
87,102368,Troy University,Number admitted who enrolled,1929,2160,1960,2084,2176,2087,2486,2989,3323,2908,1873,2597,2250,2084,1286,987,857
88,102368,Troy University,Percent of applicants admitted,87.7%,88.1%,91.2%,91.9%,73.3%,68.2%,62.3%,71.5%,69.5%,66.2%,64.2%,74.0%,81.3%,80.8%,67.5%,75.1%,72.4%
89,102368,Troy University,Percent of admitted who enrolled,30.0%,33.3%,36.1%,40.7%,46.9%,51.5%,63.7%,64.0%,76.6%,73.2%,55.7%,71.6%,58.2%,52.8%,46.7%,42.5%,48.5%
126,104179,University of Arizona,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
127,104179,University of Arizona,Number of applicants,39941,33608,36166,35408,32723,26329,26854,26629,26629,24756,22544,25449,16609,17904,23725,21185,19832
128,104179,University of Arizona,Number admitted,33717,28089,28433,27061,24417,20251,19172,20068,20068,19310,18158,19703,14293,15701,19788,18021,16973
129,104179,University of Arizona,Number admitted who enrolled,7750,7360,7753,8037,7744,7401,7300,7032,7032,6966,6709,8482,6009,5974,5725,5958,5808
130,104179,University of Arizona,Percent of applicants admitted,84.4%,83.6%,78.6%,76.4%,74.6%,76.9%,71.4%,75.4%,75.4%,78.0%,80.5%,77.4%,86.1%,87.7%,83.4%,85.1%,85.6%
131,104179,University of Arizona,Percent of admitted who enrolled,23.0%,26.2%,27.3%,29.7%,31.7%,36.5%,38.1%,35.0%,35.0%,36.1%,36.9%,43.0%,42.0%,38.0%,28.9%,33.1%,34.2%
144,105330,Northern Arizona University,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
145,105330,Northern Arizona University,Number of applicants,36831,36875,36511,29583,30855,33989,34461,31995,31773,26334,20109,15486,9077,7305,7789,10622,7912
146,105330,Northern Arizona University,Number admitted,30428,29812,28495,22739,24991,31057,26299,20727,20724,19200,14947,11629,2930,6308,6656,8635,6447
147,105330,Northern Arizona University,Number admitted who enrolled,5869,5900,5607,5218,4981,4772,4254,3872,4132,3702,3603,3171,2846,2279,2528,2369,2396
148,105330,Northern Arizona University,Percent of applicants admitted,82.6%,80.8%,78.0%,76.9%,81.0%,91.4%,76.3%,64.8%,65.2%,72.9%,74.3%,75.1%,32.3%,86.4%,85.5%,81.3%,81.5%
149,105330,Northern Arizona University,Percent of admitted who enrolled,19.3%,19.8%,19.7%,22.9%,19.9%,15.4%,16.2%,18.7%,19.9%,19.3%,24.1%,27.3%,97.1%,36.1%,38.0%,27.4%,37.2%
156,106245,University of Arkansas at Little Rock,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2010,Fall 2009,,,,,,,Fall 2003,Fall 2002
157,106245,University of Arkansas at Little Rock,Number of applicants,2593,2109,2035,1938,1751,1443,2037,930,2120,-,-,-,-,-,-,2650,6427
158,106245,University of Arkansas at Little Rock,Number admitted,2057,1574,1828,1741,1038,761,2026,895,1851,-,-,-,-,-,-,803,6259
159,106245,University of Arkansas at Little Rock,Number admitted who enrolled,575,742,805,859,734,667,836,700,701,-,-,-,-,-,-,803,4343
160,106245,University of Arkansas at Little Rock,Percent of applicants admitted,79.3%,74.6%,89.8%,89.8%,59.3%,52.7%,99.5%,96.2%,87.3%,-,-,-,-,-,-,30.3%,97.4%
161,106245,University of Arkansas at Little Rock,Percent of admitted who enrolled,28.0%,47.1%,44.0%,49.3%,70.7%,87.6%,41.3%,78.2%,37.9%,-,-,-,-,-,-,100.0%,69.4%
168,106397,University of Arkansas,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
169,106397,University of Arkansas,Number of applicants,18732,21715,21539,20542,18984,18908,16749,16633,14019,12035,12045,10135,8443,6041,5819,5491,5017
170,106397,University of Arkansas,Number admitted,14512,14324,13613,12337,11777,11076,10630,10129,8468,6751,6945,6262,5770,5283,4567,4661,4320
171,106397,University of Arkansas,Number admitted who enrolled,5008,5066,4967,4915,4571,4339,4574,4447,3810,2919,3011,2899,2784,2752,2514,2357,2251
172,106397,University of Arkansas,Percent of applicants admitted,77.5%,66.0%,63.2%,60.1%,62.0%,58.6%,63.5%,60.9%,60.4%,56.1%,57.7%,61.8%,68.3%,87.5%,78.5%,84.9%,86.1%
173,106397,University of Arkansas,Percent of admitted who enrolled,34.5%,35.4%,36.5%,39.8%,38.8%,39.2%,43.0%,43.9%,45.0%,43.2%,43.4%,46.3%,48.2%,52.1%,55.0%,50.6%,52.1%
174,106412,University of Arkansas at Pine Bluff,Reporting period,,,,,,Fall 2013,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2004,Fall 2003,Fall 2002,Fall 2001
175,106412,University of Arkansas at Pine Bluff,Number of applicants,5508,4393,6353,4452,3508,4094,4543,4589,4988,4792,2616,2169,1933,1701,1744,1673,1631
176,106412,University of Arkansas at Pine Bluff,Number admitted,2443,2051,2664,2055,1357,1134,1489,1348,1505,1568,1527,1394,1227,1506,1114,1178,1173
177,106412,University of Arkansas at Pine Bluff,Number admitted who enrolled,568,514,772,684,496,568,575,677,802,979,981,819,724,699,746,726,709
178,106412,University of Arkansas at Pine Bluff,Percent of applicants admitted,44.4%,46.7%,41.9%,46.2%,38.7%,27.7%,32.8%,29.4%,30.2%,32.7%,58.4%,64.3%,63.5%,88.5%,63.9%,70.4%,71.9%
179,106412,University of Arkansas at Pine Bluff,Percent of admitted who enrolled,23.3%,25.1%,29.0%,33.3%,36.6%,50.1%,38.6%,50.2%,53.3%,62.4%,64.2%,58.8%,59.0%,46.4%,67.0%,61.6%,60.4%
198,106704,University of Central Arkansas,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002
199,106704,University of Central Arkansas,Number of applicants,5541,5362,4922,5063,5160,3659,3370,3759,3821,5848,5780,6015,6151,5830,5342,5655,4447
200,106704,University of Central Arkansas,Number admitted,5048,4823,4419,4667,4864,3292,3131,3418,3595,3394,2811,3262,3374,3966,3654,3979,3015
201,106704,University of Central Arkansas,Number admitted who enrolled,2033,1937,1880,2044,2232,2157,1960,1847,1777,2111,1793,2371,2377,2503,2237,2428,1787
202,106704,University of Central Arkansas,Percent of applicants admitted,91.1%,89.9%,89.8%,92.2%,94.3%,90.0%,92.9%,90.9%,94.1%,58.0%,48.6%,54.2%,54.9%,68.0%,68.4%,70.4%,67.8%
203,106704,University of Central Arkansas,Percent of admitted who enrolled,40.3%,40.2%,42.5%,43.8%,45.9%,65.5%,62.6%,54.0%,49.4%,62.2%,63.8%,72.7%,70.5%,63.1%,61.2%,61.0%,59.3%
252,110422,California Polytechnic State University-San Luis Obispo,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
253,110422,California Polytechnic State University-San Luis Obispo,Number of applicants,54663,48588,48162,46820,43812,36941,33003,33627,31489,33270,30176,26724,24284,22553,21794,19737,18886
254,110422,California Polytechnic State University-San Luis Obispo,Number admitted,16491,16817,14202,14651,13533,11537,12342,10942,11737,11091,13520,12453,4209,3242,3465,3012,3666
255,110422,California Polytechnic State University-San Luis Obispo,Number admitted who enrolled,4398,5253,4341,4943,4662,3635,4254,3463,3847,3438,4369,3668,3638,2931,3051,2601,3003
256,110422,California Polytechnic State University-San Luis Obispo,Percent of applicants admitted,30.2%,34.6%,29.5%,31.3%,30.9%,31.2%,37.4%,32.5%,37.3%,33.3%,44.8%,46.6%,17.3%,14.4%,15.9%,15.3%,19.4%
257,110422,California Polytechnic State University-San Luis Obispo,Percent of admitted who enrolled,26.7%,31.2%,30.6%,33.7%,34.4%,31.5%,34.5%,31.6%,32.8%,31.0%,32.3%,29.5%,86.4%,90.4%,88.1%,86.4%,81.9%
264,110486,California State University-Bakersfield,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
265,110486,California State University-Bakersfield,Number of applicants,11455,8882,8487,8432,7662,6630,5864,5301,4353,5090,4925,4295,5147,4392,3323,2380,1926
266,110486,California State University-Bakersfield,Number admitted,2637,5429,5756,5797,5409,4393,3926,3513,3111,3097,2353,2373,2886,2154,1950,1441,1222
267,110486,California State University-Bakersfield,Number admitted who enrolled,1494,1436,1362,1464,1425,1328,1229,1035,1063,925,869,873,784,768,751,703,629
268,110486,California State University-Bakersfield,Percent of applicants admitted,23.0%,61.1%,67.8%,68.8%,70.6%,66.3%,67.0%,66.3%,71.5%,60.8%,47.8%,55.3%,56.1%,49.0%,58.7%,60.5%,63.4%
269,110486,California State University-Bakersfield,Percent of admitted who enrolled,56.7%,26.5%,23.7%,25.3%,26.3%,30.2%,31.3%,29.5%,34.2%,29.9%,36.9%,36.8%,27.2%,35.7%,38.5%,48.8%,51.5%
300,110556,California State University-Fresno,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
301,110556,California State University-Fresno,Number of applicants,18476,17920,18735,19938,18964,16242,15482,14559,14025,14537,13451,13530,13252,11348,10401,9063,7330
302,110556,California State University-Fresno,Number admitted,10630,10646,10031,10406,11265,9444,9352,8140,10090,10196,9252,9260,8652,7102,7249,5977,4634
303,110556,California State University-Fresno,Number admitted who enrolled,3574,3446,3302,3672,3533,3139,2925,2700,2764,2823,2644,2612,2447,2329,2616,2311,2000
304,110556,California State University-Fresno,Percent of applicants admitted,57.5%,59.4%,53.5%,52.2%,59.4%,58.1%,60.4%,55.9%,71.9%,70.1%,68.8%,68.4%,65.3%,62.6%,69.7%,65.9%,63.2%
305,110556,California State University-Fresno,Percent of admitted who enrolled,33.6%,32.4%,32.9%,35.3%,31.4%,33.2%,31.3%,33.2%,27.4%,27.7%,28.6%,28.2%,28.3%,32.8%,36.1%,38.7%,43.2%
306,110565,California State University-Fullerton,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
307,110565,California State University-Fullerton,Number of applicants,51415,45808,44493,41841,40955,38909,35235,33565,30612,33433,29829,27815,25588,21322,17752,16793,13815
308,110565,California State University-Fullerton,Number admitted,22317,20943,21459,17515,18212,17817,16452,15153,16865,19923,18042,16934,16304,13442,11752,11547,9483
309,110565,California State University-Fullerton,Number admitted who enrolled,4408,4437,4426,4401,4357,4526,4195,3912,4065,4697,4154,3851,3943,3627,3271,3430,2882
310,110565,California State University-Fullerton,Percent of applicants admitted,43.4%,45.7%,48.2%,41.9%,44.5%,45.8%,46.7%,45.1%,55.1%,59.6%,60.5%,60.9%,63.7%,63.0%,66.2%,68.8%,68.6%
311,110565,California State University-Fullerton,Percent of admitted who enrolled,19.8%,21.2%,20.6%,25.1%,23.9%,25.4%,25.5%,25.8%,24.1%,23.6%,23.0%,22.7%,24.2%,27.0%,27.8%,29.7%,30.4%
318,110583,California State University-Long Beach,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
319,110583,California State University-Long Beach,Number of applicants,69610,63048,61808,58109,57322,55019,49775,47707,45782,48556,45214,42843,38928,33526,28057,26084,23337
320,110583,California State University-Long Beach,Number admitted,21725,17650,19711,19650,20326,16956,15122,16428,14543,20391,21245,22132,21037,17752,13739,11519,16566
321,110583,California State University-Long Beach,Number admitted who enrolled,4912,4138,4253,4506,4335,4276,3987,3988,3551,4606,4217,4467,4383,3408,3516,3040,4517
322,110583,California State University-Long Beach,Percent of applicants admitted,31.2%,28.0%,31.9%,33.8%,35.5%,30.8%,30.4%,34.4%,31.8%,42.0%,47.0%,51.7%,54.0%,52.9%,49.0%,44.2%,71.0%
323,110583,California State University-Long Beach,Percent of admitted who enrolled,22.6%,23.4%,21.6%,22.9%,21.3%,25.2%,26.4%,24.3%,24.4%,22.6%,19.8%,20.2%,20.8%,19.2%,25.6%,26.4%,27.3%
330,110608,California State University-Northridge,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
331,110608,California State University-Northridge,Number of applicants,34856,30165,32913,34444,33386,29339,25822,23015,20657,23293,22756,19434,18170,15086,13211,12610,11393
332,110608,California State University-Northridge,Number admitted,17647,17391,15876,15706,17647,13566,16075,16926,14984,17411,15625,13559,13575,10192,10092,9795,8809
333,110608,California State University-Northridge,Number admitted who enrolled,4804,5227,4499,5637,5526,4149,5269,5195,4203,4625,4130,3695,3720,2979,3610,3675,3302
334,110608,California State University-Northridge,Percent of applicants admitted,50.6%,57.7%,48.2%,45.6%,52.9%,46.2%,62.3%,73.5%,72.5%,74.7%,68.7%,69.8%,74.7%,67.6%,76.4%,77.7%,77.3%
335,110608,California State University-Northridge,Percent of admitted who enrolled,27.2%,30.1%,28.3%,35.9%,31.3%,30.6%,32.8%,30.7%,28.0%,26.6%,26.4%,27.3%,27.4%,29.2%,35.8%,37.5%,37.5%
336,110617,California State University-Sacramento,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
337,110617,California State University-Sacramento,Number of applicants,27108,24132,23942,22863,21550,19702,18617,17557,16535,18132,17471,17489,15969,12515,11262,10419,9728
338,110617,California State University-Sacramento,Number admitted,17312,16352,17224,15376,15656,13728,12492,12440,13301,12131,11657,11660,7582,6374,5880,5332,4969
339,110617,California State University-Sacramento,Number admitted who enrolled,3757,3590,3760,3781,3695,3151,2912,2732,3076,2622,2469,2490,2518,2345,2447,2505,2419
340,110617,California State University-Sacramento,Percent of applicants admitted,63.9%,67.8%,71.9%,67.3%,72.6%,69.7%,67.1%,70.9%,80.4%,66.9%,66.7%,66.7%,47.5%,50.9%,52.2%,51.2%,51.1%
341,110617,California State University-Sacramento,Percent of admitted who enrolled,21.7%,22.0%,21.8%,24.6%,23.6%,23.0%,23.3%,22.0%,23.1%,21.6%,21.2%,21.4%,33.2%,36.8%,41.6%,47.0%,48.7%
342,110635,University of California-Berkeley,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
343,110635,University of California-Berkeley,Number of applicants,89607,85044,82561,78893,73782,61717,52982,50374,48682,48473,44149,41796,37014,36679,37001,36445,36100
344,110635,University of California-Berkeley,Number admitted,13301,14549,13975,13320,11820,11108,11450,10795,10524,10404,10251,9932,9817,9041,8833,8707,8912
345,110635,University of California-Berkeley,Number admitted who enrolled,6012,6379,6182,5550,5467,4162,4443,4109,4356,4261,4225,4157,4101,3672,3653,3653,3863
346,110635,University of California-Berkeley,Percent of applicants admitted,14.8%,17.1%,16.9%,16.9%,16.0%,18.0%,21.6%,21.4%,21.6%,21.5%,23.2%,23.8%,26.5%,24.6%,23.9%,23.9%,24.7%
347,110635,University of California-Berkeley,Percent of admitted who enrolled,45.2%,43.8%,44.2%,41.7%,46.3%,37.5%,38.8%,38.1%,41.4%,41.0%,41.2%,41.9%,41.8%,40.6%,41.4%,42.0%,43.3%
348,110644,University of California-Davis,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
349,110644,University of California-Davis,Number of applicants,78022,70952,68553,64602,60543,49820,46215,43313,42388,40625,35147,32643,30063,31575,32530,28781,27960
350,110644,University of California-Davis,Number admitted,32046,30762,28981,24518,24440,22526,22303,20042,20078,21357,20598,22143,18264,17348,18464,18106,17570
351,110644,University of California-Davis,Number admitted who enrolled,6393,5868,5762,5369,5377,5208,4705,4501,4414,4972,4955,5511,4379,4268,4786,4673,4403
352,110644,University of California-Davis,Percent of applicants admitted,41.1%,43.4%,42.3%,38.0%,40.4%,45.2%,48.3%,46.3%,47.4%,52.6%,58.6%,67.8%,60.8%,54.9%,56.8%,62.9%,62.8%
353,110644,University of California-Davis,Percent of admitted who enrolled,19.9%,19.1%,19.9%,21.9%,22.0%,23.1%,21.1%,22.5%,22.0%,23.3%,24.1%,24.9%,24.0%,24.6%,25.9%,25.8%,25.1%
354,110653,University of California-Irvine,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
355,110653,University of California-Irvine,Number of applicants,95059,85092,77816,71775,66515,56515,49283,45736,44126,42424,39960,38429,34507,34500,34393,30630,29180
356,110653,University of California-Irvine,Number admitted,27337,31063,31630,27764,24890,23956,23390,20677,19482,20670,22218,23193,20832,17989,18501,17359,17248
357,110653,University of California-Irvine,Number admitted who enrolled,5793,6545,6551,5756,5435,5077,5115,4411,4030,4583,4931,4835,4338,3633,4043,4028,3827
358,110653,University of California-Irvine,Percent of applicants admitted,28.8%,36.5%,40.6%,38.7%,37.4%,42.4%,47.5%,45.2%,44.2%,48.7%,55.6%,60.4%,60.4%,52.1%,53.8%,56.7%,59.1%
359,110653,University of California-Irvine,Percent of admitted who enrolled,21.2%,21.1%,20.7%,20.7%,21.8%,21.2%,21.9%,21.3%,20.7%,22.2%,22.2%,20.8%,20.8%,20.2%,21.9%,23.2%,22.2%
360,110662,University of California-Los Angeles,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2002
361,110662,University of California-Los Angeles,Number of applicants,113754,102225,97112,92690,86537,72676,61556,61545,55694,55423,50746,47317,42223,43267,44981,43436,40739
362,110662,University of California-Los Angeles,Number admitted,15970,16456,17473,16016,16059,15981,16689,15719,12178,12659,11960,12188,11361,9949,10577,10454,10953
363,110662,University of California-Los Angeles,Number admitted who enrolled,6240,6038,6545,5679,5764,5620,5825,4636,4472,4735,4563,4810,4423,3723,4268,4257,4246
364,110662,University of California-Los Angeles,Percent of applicants admitted,14.0%,16.1%,18.0%,17.3%,18.6%,22.0%,27.1%,25.5%,21.9%,22.8%,23.6%,25.8%,26.9%,23.0%,23.5%,24.1%,26.9%
365,110662,University of California-Los Angeles,Percent of admitted who enrolled,39.1%,36.7%,37.5%,35.5%,35.9%,35.2%,34.9%,29.5%,36.7%,37.4%,38.2%,39.5%,38.9%,37.4%,40.4%,40.7%,38.8%
366,110671,University of California-Riverside,Reporting period,,,,,,Fall 2012,Fall 2011,Fall 2010,Fall 2009,Fall 2008,Fall 2007,Fall 2006,Fall 2005,Fall 2004,Fall 2003,Fall 2002,Fall 2001
