Season,Champion,Selecting Organization
1910,"Harvard, Pittsburgh","HAF, NCF, NCF"
1909,Yale,"HAF, NCF"
1908,"LSU, Pennsylvania","NCF, HAF, NCF"
1907,Yale,"HAF, NCF"
1906,Princeton,"HAF, NCF"
1905,Chicago,"HAF, NCF"
1904,"Michigan, Pennsylvania","NCF, HAF, NCF"
1903,"Michigan, Princeton","NCF, HAF, NCF"
1902,Michigan,"HAF, NCF"
1901,Michigan,"HAF, NCF"
1900,Yale,"HAF, NCF"
1899,Harvard,"HAF, NCF"
1898,Harvard,"HAF, NCF"
1897,Pennsylvania,"HAF, NCF"
1896,"Lafayette, Princeton","NCF, HAF, NCF"
1895,Pennsylvania,"HAF, NCF"
1894,Yale,"HAF, NCF"
1893,Princeton,"HAF, NCF"
1892,Yale,"HAF, NCF"
1891,Yale,"HAF, NCF"
1890,Harvard,"HAF, NCF"
1889,Princeton,"HAF, NCF"
1888,Yale,"HAF, NCF"
1887,Yale,"HAF, NCF"
1886,Yale,"HAF, NCF"
1885,Princeton,"HAF, NCF"
1884,Yale,"HAF, NCF"
1883,Yale,"HAF, NCF"
1882,Yale,NCF
1881,Yale,NCF
1880,"Princeton, Yale","NCF, NCF"
1879,Princeton,NCF
1878,Princeton,NCF
1877,Yale,NCF
1876,Yale,NCF
1875,Harvard,NCF
1874,Yale,NCF
1873,Princeton,NCF
1872,Princeton,NCF
1871,None selected,NCF
1870,Princeton,NCF
1869,"Princeton, Rutgers",NCF
